case_year	case_status	emp_name	emp_city	emp_state	emp_zip	emp_country	job_title	soc_code	soc_name	full_time_position	prevailing_wage	pw_unit	pw_level	wage_from	wage_to	wage_unit	work_city	work_state	emp_h1b_dependent	emp_willful_violator	lat	lng	processing_time
2017	C	IBM INDIA PRIVATE LIMITED	DURHAM	NC	27709	USA	CONSULTANT	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	80995	Y	Level II	90286	94698	Y	NEWARK	NJ	N	N	40.735657	-74.17236	7
2017	C	PROVENANCE CONSULTING, LLC	BORGER	TX	79007	USA	PROCESS SAFETY MANAGEMENT CONSULTANT	17-2111	HEALTH AND SAFETY ENGINEERS, EXCEPT MINING SAFETY	Y	68994	Y	Level II	68994	72980	Y	BORGER	TX	N	N	35.66782	-101.397385	6
2015	C	TATA CONSULTANCY SERVICES LIMITED	ROCKVILLE	MD	20850	USA	DEVELOPER USER INTERFACE	15-1134	WEB DEVELOPERS	Y	62816	Y	Level III	69000		Y	NISKAYUNA	NY	Y	N	42.7798	-73.84568	7
2017	C	LSU HEALTH SCIENCES CENTER/NEW ORLEANS	NEW ORLEANS	LA	70112	USA	ASSISTANT PROFESSOR OF CLINICAL OTOLARYNGOLOGY	25-1071	HEALTH SPECIALTIES TEACHERS, POSTSECONDARY	Y	82390	Y	Level II	90000	0	Y	NEW ORLEANS	LA	N	N	29.954649	-90.07507	6
2012	C	HOWARD INDUSTRIES, INC.	LAUREL	MS	39440		DESIGN ENGINEER	17-2061	COMPUTER HARDWARE ENGINEERS	Y	54350	Y		55000	65000	Y	ELLISVILLE	MS			31.604053	-89.19562	6
2014	C	INFOSYS LIMITED	PLANO	TX	75024		TECHNOLOGY ARCHITECT - US	15-1199	COMPUTER OCCUPATIONS, ALL OTHER	Y	79186	Y		101331		Y	NORTHBROOK	IL			42.127525	-87.82896	4
2013	C	ALPHA NET CONSULTING LLC	SANTA CLARA	CA	95054		JAVA DEVELOPER	15-1131	COMPUTER PROGRAMMERS	Y	61984	Y		70000		Y	MOUNTAIN VIEW	CA			37.38605	-122.083855	6
2012	C	INFOSYS  LIMITED	PLANO	TX	75024		MODULE LEAD - TESTING	15-1799	COMPUTER OCCUPATIONS, ALL OTHER*	Y	61630	Y		65280		Y	MOORESVILLE	NC			35.584858	-80.810074	7
2013	C	INFOSYS LIMITED	PLANO	TX	75024		CONSULTANT - US	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	72592	Y		72816		Y	HOUSTON	TX			29.763283	-95.36327	6
2017	C	4WARDTECH INC.	LA MESA	CA	91942	USA	SENIOR ANDROID SOFTWARE ENGINEER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	83346	Y	Level II	85000	0	Y	LA MESA	CA	N	N	32.76783	-117.02309	4
2016	CW	PIRAMAL GLASS - USA, INC.	DAYTON	NJ	8810	USA	OPERATIONS ENGINEER	17-2141	MECHANICAL ENGINEERS		66518	Y		68251	68251	Y	PARK HILLS	MO	N	N	37.854218	-90.51818	13
2017	C	PERSISTENT SYSTEMS, INC.	SANTA CLARA	CA	95054	USA	SR. COMPUTER PROGRAMMER ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	56638	Y	Level I	60000	78400	Y	DUBLIN	OH	Y	N	40.099228	-83.114075	6
2016	C	PROSOFT TECHNOLOGY GROUP, INC.	DOWNERS GROVE	IL	60515	USA	INTEGRATION ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS		74006	Y		75000	0	Y	DOWNERS GROVE	IL	Y	N	41.808918	-88.01118	6
2011	W	SATYAM COMPUTER SERVICES LTD.	PARSIPPANY	NJ	7054		SYSTEMS ANALYST	15-1051.00	COMPUTER SYSTEMS ANALYSTS	Y	70491	Y		70491		Y	GREELEY	CO			40.423313	-104.70913	0
2012	C	AVANT HEALTHCARE PROFESSIONALS, LLC.	CASSELBERRY	FL	32707		PHYSICAL THERAPIST	29-1123	PHYSICAL THERAPISTS	Y	26.58	H		26.58		H	DAYTONA BEACH	FL			29.210815	-81.022835	6
2012	C	MOXIE SYSTEMS INCORPORATED	EXTON	PA	19341		PROGRAMMER ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	51667	Y		58053	70000	Y	MECHANICSBURG	PA			40.214256	-77.00859	7
2017	C	NIMBL, LLC	DENVER	CO	80204	USA	SENIOR SAP MATERIALS MANAGEMENT CONSULTANT	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	97053	Y	Level III	105000	0	Y	DENVER	CO	N	N	39.739155	-104.9847	6
2014	C	REHABCARE GROUP EAST, INC.	LOUISVILLE	KY	40202		SPEECH-LANGUAGE PATHOLOGIST	29-1127	SPEECH-LANGUAGE PATHOLOGISTS	Y	35.16	H		35.16	40	H	WEST ORANGE	NJ			40.79871	-74.23904	6
2012	C	LENMAR CONSULTING INC.	JERSEY CITY	NJ	7311		JAVA SOFTWARE ENGINEER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	46218	Y		70970		Y	BOCA RATON	FL			26.358688	-80.0831	6
2014	C	CHEVRON CORPORATION	SAN RAMON	CA	94583		PROJECT MANAGER - AUTOMATION AND ELECTRICAL	17-2071	ELECTRICAL ENGINEERS	Y	115960	Y		122000		Y	BAKERSFIELD	CA			35.37329	-119.018715	6
2016	C	CITADEL LLC	CHICAGO	IL	60603	USA	SURVEYOR, INDUSTRIALS ASSOCIATE	19-3011	ECONOMISTS		101358	Y		225000	0	Y	NEW YORK	NY	N	N	40.761494	-73.98143	6
2016	C	ARCHER DANIELS MIDLAND COMPANY	DECATUR	IL	62526	USA	BUSINESS SOLUTIONS ANALYST III	15-1121	COMPUTER SYSTEMS ANALYSTS		83158	Y		85000	95000	Y	DECATUR	IL	N	N	39.840313	-88.9548	6
2016	C	MYCELL INC	MONTVALE	NJ	7645	USA	FOOD SCIENTIST	19-1012	FOOD SCIENTISTS AND TECHNOLOGISTS		64626	Y		69000	0	Y	MONTVALE	NJ	N	N	41.046764	-74.02292	6
2017	C	INFOSYS LIMITED	PLANO	TX	75024	USA	SENIOR TECHNOLOGY ARCHITECT - US	15-1199	COMPUTER SYSTEMS ENGINEERS/ARCHITECTS	Y	80184	Y	Level IV	118136	0	Y	BENTONVILLE	AR	Y	N	36.372852	-94.20882	6
2017	C	ERNST & YOUNG U.S. LLP	SECAUCUS	NJ	7094	USA	ADVISORY STAFF	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	63710	Y	Level I	82080	0	Y	BOSTON	MA	N	N	42.35843	-71.05978	6
2016	C	UNIVERSITY OF CALIFORNIA, IRVINE	IRVINE	CA	92697	USA	POSTDOCTORAL SCHOLAR	19-2031	CHEMISTS		42840	Y		42840	0	Y	IRVINE	CA	N	N	33.669464	-117.82311	7
2012	C	PALO ALTO NETWORKS, INC.	SANTA CLARA	CA	95054		SOFTWARE ENGINEER	15-1133	SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE	Y	103709	Y		115000		Y	SANTA CLARA	CA			37.354107	-121.95524	7
2015	C	SANGUINE SOFTWARE SOLUTIONS INC	ROCHELLE PARK	NJ	7662	USA	COMPUTER SYSTEMS ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	53248	Y	Level II	65000		Y	HOUSTON	TX	Y	N	29.763283	-95.36327	7
2016	C	MICROSOFT CORPORATION	REDMOND	WA	98052	USA	SENIOR PREMIER FIELD ENGINEER	15-1121	COMPUTER SYSTEMS ANALYSTS		73341	Y		125090	0	Y	BENTONVILLE	AR	N	N	36.372852	-94.20882	6
2012	C	AMERICAN JUNIOR GOLF ASSOCIATION	BRASELTON	GA	30517		TOURNAMENT DIRECTOR	39-9032	RECREATION WORKERS	Y	19989	Y		40000		Y	BRASELTON	GA			34.109272	-83.76267	6
2011	C	PRIMESYS, L.P.	HOUSTON	TX	77070		SENIOR SAP ENGINEER	409743	COMPUTER AND INFORMATION SYSTEMS MANAGERS	Y	83075	Y		92000		Y	HOUSTON	TX			29.763283	-95.36327	6
2015	C	MASTECH RESOURCING, INC.	MOON TOWNSHIP	PA	15108	USA	SOFTWARE TEST ENGINEER	15-1199	COMPUTER OCCUPATIONS, ALL OTHER	Y	69264	Y	Level II	69264	84264	Y	COLUMBUS	OH	Y	N	39.961174	-82.998795	6
2012	C	INFOLOB SOLUTIONS, INC.	IRVING	TX	75038		ORACLE DATABASE ADMINISTRATOR	15-1141	DATABASE ADMINISTRATORS	Y	52936	Y		75000		Y	SALT LAKE CITY	UT			40.76078	-111.891045	6
2015	C	DELOITTE CONSULTING LLP	PHILADELPHIA	PA	19103	USA	SENIOR CONSULTANT	15-1133	SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE	Y	71032	Y	Level II	100000	158000	Y	CLEVELAND	OH	N	N	41.499496	-81.69541	6
2011	C	PRESIDIO INDEPENDENT SCHOOL DISTRICT	PRESIDIO	TX	79845		SECONDARY SCHOOL TEACHER	25-2031.00	SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND VOCA	Y	39210	Y		39210	41520	Y	PRESIDIO	TX			29.560738	-104.37215	6
2016	C	PANTAI CHEMICAL USA INC.	ALPHARETTA	GA	30022	USA	ACCOUNTANT	13-2011	ACCOUNTANTS AND AUDITORS		23.06	H		25	0	H	ALPHARETTA	GA	N	N	34.075375	-84.29409	5
2013	C	CUMMINS FILTRATION, INC.	NASHVILLE	TN	37214		PRODUCT DEVELOPMENT ENGINEER (TPL)	17-2141	MECHANICAL ENGINEERS	Y	52832	Y		60800	72200	Y	COOKEVILLE	TN			36.162838	-85.50164	6
2012	C	WIPRO LIMITED	EAST BRUNSWICK	NJ	8816		COMPUTER PROGRAMMER	15-1131	COMPUTER PROGRAMMERS	Y	62566	Y		62566	83000	Y	COLUMBUS	OH			39.961174	-82.998795	7
2016	C	MICROSOFT CORPORATION	REDMOND	WA	98052	USA	STRATEGY DIRECTOR	Nov-22	SALES MANAGERS		157934	Y		167500	0	Y	REDMOND	WA	N	N	47.67399	-122.12151	6
2014	C	WEEKS MARINE, INC.	CRANFORD	NJ	7016		CHIEF FIELD ENGINEER	19-2042	GEOSCIENTISTS, EXCEPT HYDROLOGISTS AND GEOGRAPHERS	Y	56451	Y		56451	70000	Y	BOURG	LA			29.553549	-90.60231	6
2016	C	EXILANT TECHNOLOGIES PRIVATE LIMITED	CUPERTINO	CA	95014	USA	SYSTEMS ANALYST II	15-1121	COMPUTER SYSTEMS ANALYSTS		89149	Y		95585	0	Y	SUNNYVALE	CA	Y	N	37.36883	-122.03635	6
2017	C	ROCHESTER COMMUNITY SCHOOLS	ROCHESTER	MI	48307	USA	CHINESE LANGUAGE AND CULTURE TEACHER	25-2021	ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL EDUCATI	Y	40649	Y		40649	0	Y	ROCHESTER	MI	N	N	42.680588	-83.13382	6
2017	C	QUESTPAY INC.	NORTH BRUNSWICK	NJ	8902	USA	PROJECT MANAGER	Nov-21	COMPUTER AND INFORMATION SYSTEMS MANAGERS	Y	78915	Y	Level II	78915	87500	Y	FRANKLIN	TN	Y	N	35.925064	-86.86889	6
2015	CW	EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.	SEATTLE	WA	98104	USA	REGIONAL CUSTOMS MANAGER - U.S. SOUTHERN BORDER AND MEXICO	Nov-71	TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS	Y	43347	Y	Level I	50000	60000	Y	LAREDO	TX	N	N	27.506407	-99.507545	8
2014	C	WIPRO LIMITED	EAST BRUNSWICK	NJ	8816		PROJECT MANAGER	15-1131	COMPUTER PROGRAMMERS	Y	69181	Y		69181		Y	TUCSON	AZ			32.221745	-110.926476	7
2017	C	AUROPRO SYSTEMS INC	PLAINSBORO	NJ	8536	USA	SOFTWARE DEVELOPER	15-1034	SOFTWARE DEVELOPERS, APPLICATIONS, NON R&D	Y	70221	Y	Level I	72000	0	Y	PLAINSBORO	NJ	Y	N	40.333443	-74.60043	6
2015	C	ALLTECH CONSULTING SERVICES INC.	PRINCETON	NJ	8540	USA	SOFTWARE CONSULTANT II	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	78749	Y	Level II	78749	80000	Y	PRINCETON	NJ	Y	N	40.348717	-74.65905	4
2016	C	9 DOTS TECHNOLOGY, INC.	SCHAUMBURG	IL	60193	USA	SOFTWARE QUALITY ASSURANCE ENGINEER (TEST LEAD)	15-1199	COMPUTER OCCUPATIONS, ALL OTHER		80018	Y		96000	0	Y	TORRANCE	CA	Y	N	33.83585	-118.34063	6
2012	C	ALLEGHANY COUNTY PUBLIC SCHOOLS	LOW MOOR	VA	24457		BILINGUAL ED SPEC/MODEL BILINGUAL TEACHING MENTOR	25-2031	SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND CARE	Y	42523	Y		48070		Y	LOW MOOR	VA			37.78874	-79.88367	6
2014	C	QUANTENNA COMMUNICATIONS, INC.	FREMONT	CA	94538		SR. SOFTWARE ENGINEER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	126630	Y		126630	140000	Y	FREMONT	CA			37.54827	-121.98857	6
2016	C	TATA CONSULTANCY SERVICES LIMITED	ROCKVILLE	MD	20850	USA	DEVELOPER USER INTERFACE	15-1134	WEB DEVELOPERS		63544	Y		63544	94500	Y	WOONSOCKET	RI	Y	N	42.002876	-71.514786	6
2015	C	RJT COMPUQUEST, INC.	TORRANCE	CA	90505	USA	BUSINESS SYSTEMS ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	66602	Y	Level I	67000		Y	MILPITAS	CA	Y	N	37.428272	-121.906624	6
2014	C	MSI SERVICES, INC.	STANHOPE	NJ	7874		NETWORK SUPPORT TECHNICIAN	15-1151	COMPUTER USER SUPPORT SPECIALISTS	Y	36005	Y		36005		Y	STANHOPE	NJ			40.902878	-74.70905	6
2011	C	CYTEC INDUSTRIES INC.	WOODLAND PARK	NJ	7424		POST-DOCTORAL RESEARCHER	19-2031.00	CHEMISTS	Y	51002	Y		60000		Y	STAMFORD	CT			41.05343	-73.538734	6
2015	C	APOLLO EDUCATION GROUP, INC.	PHOENIX	AZ	85040	USA	SENIOR TECHNICAL WRITER	27-3042	TECHNICAL WRITERS	Y	73320	Y	Level IV	88000		Y	PHOENIX	AZ	N	N	33.448376	-112.074036	4
2012	C	MAGANTI IT RESOURCES, LLC	NAUGATUCK	CT	6770		BUSINESS ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	61693	Y		75000		Y	NAUGATUCK	CT			41.48593	-73.05067	6
2015	C	XG SCIENCES, INC.	LANSING	MI	48911	USA	MATERIALS SCIENTIST	19-2032	MATERIALS SCIENTISTS	Y	49608	Y	Level I	53581		Y	LANSING	MI	N	N	42.732536	-84.555534	6
2015	C	VIRTUSA CORPORATION	WESTBOROUGH	MA	1581	USA	SENIOR CONSULTANT-HR	13-1071	HUMAN RESOURCES SPECIALISTS	Y	60570	Y	Level III	76000		Y	WESTBOROUGH	MA	Y	N	42.26954	-71.61618	6
2013	C	ST.VINCENT'S MULTISPECIALTY GROUP, INC.	BRIDGEPORT	CT	6606		INTENSIVIST	29-1063	INTERNISTS, GENERAL	Y	225680	Y		260000		Y	BRIDGEPORT	CT			41.16704	-73.204834	6
2013	C	UST GLOBAL INC	ALISO VIEJO	CA	92656		SENIOR TEST ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	49546	Y		61680		Y	OVERLAND PARK	KS			38.982227	-94.67079	6
2014	C	TEXAS TRANSPORTATION INSTITUTE	COLLEGE STATION	TX	77843-3435		ASSISTANT TRANSPORTATION RESEARCHER	17-2053	CIVIL ENGINEERS, R&D	Y	33467	Y		45600		Y	AUSTIN	TX			30.267153	-97.74306	6
2015	C	SIRI GROUP, INC.	KING OF PRUSSIA	PA	19406	USA	ETL TECHNICAL ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	58885	Y	Level I	60000		Y	FARMERS BRANCH	TX	N	N	32.926514	-96.89612	4
2013	C	THE UNIVERSITY OF KANSAS HOSPITAL	KANSAS CITY	KS	48-1202402		PHYSICIAN	29-1063	INTERNISTS, GENERAL	Y	201261	Y		276000	339000	Y	KANSAS CITY	KS			39.11417	-94.62746	6
2017	W	IBM INDIA PRIVATE LIMITED	DURHAM	NC	27709	USA	MAINFRAME TEST LEAD	15-1131	COMPUTER PROGRAMMERS	Y	84053	Y	Level II	84053	0	Y	QUINCY	MA	N	N	42.252876	-71.00227	3
2016	C	GENE STRUCTURAL ENGINEERING, INC.	KATY	TX	77450	USA	STRUCTURAL ENGINEER	17-2051	CIVIL ENGINEERS		66477	Y		67200	0	Y	KATY	TX	N	N	29.785786	-95.824394	7
2012	C	IBM INDIA PRIVATE LIMITED	DURHAM	NC	27709		SENIOR ADVISORY CONSULTANT	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	76003	Y		88193		Y	RED BANK	NJ			40.347054	-74.06431	7
2012	C	YALE UNIVERSITY	NEW HAVEN	CT	06520-8224		HOSPITAL RESIDENT	29-1069	PHYSICIANS AND SURGEONS, ALL OTHER	Y	57136	Y		72700		Y	WEST HAVEN	CT			41.270653	-72.947044	6
2015	C	NISUM TECHNOLOGIES INC.	BREA	CA	92821	USA	TECHNICAL LEAD	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	114400	Y	Level III	120000		Y	SAN FRANCISCO	CA	Y	N	37.77493	-122.41942	7
2016	C	LANDIS+GYR TECHNOLOGY, INC.	ALPHARETTA	GA	30022	USA	SOFTWARE QUALITY ASSURANCE ENGINEER II	15-1199	COMPUTER OCCUPATIONS, ALL OTHER		49982	Y		56400	98800	Y	BLOOMINGTON	MN	N	N	44.840797	-93.29828	6
2015	C	NATIONAL GRID CORPORATE SERVICES LLC	BROOKLYN	NY	11201	USA	ANALYST, SOX INFO SYSTEMS	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	63086	Y	Level I	77123		Y	BROOKLYN	NY	N	N	40.650093	-73.94956	6
2013	C	INFOSYS LIMITED	PLANO	TX	75024		TECHNOLOGY ANALYST - US	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	57866	Y		68171		Y	CHARLOTTE	NC			35.227085	-80.843124	6
2012	C	DELOITTE CONSULTING LLP	PHILADELPHIA	PA	19103		MANAGER	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	71282	Y		124400		Y	CHICAGO	IL			41.850033	-87.650055	6
2016	C	MBL INTERNATIONAL CORPORATION	WOBURN	MA	1801	USA	REGULATORY SPECIALIST, REGULATORY AFFAIRS	13-1041	COMPLIANCE OFFICERS		43597	Y		50000	0	Y	MADISON	WI	N	N	43.07305	-89.40123	6
2015	C	SIMBIOSYS MOBILE SOLUTIONS,INC.	FREMONT	CA	94538	USA	PROGRAMMER ANALYST	15-1131	COMPUTER PROGRAMMERS	Y	57179	Y	Level I	57179		Y	SAN JOSE	CA	N	N	37.339386	-121.89496	4
2015	C	NEXIUS SOLUTIONS INC.	ALLEN	TX	75013	USA	RF ENGINEER	17-2071	ELECTRICAL ENGINEERS	Y	69576	Y	Level II	80000		Y	MASON	OH	N	N	39.360058	-84.30994	4
2014	C	REDI GLOBAL TECHNOLOGIES LLC	NEW YORK	NY	10005		SOFTWARE ENGINEER	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	94890	Y		150000	250000	Y	NEW YORK	NY			40.761494	-73.98143	6
2017	C	GREENWAVE REALITY INC.	IRVINE	CA	92618	USA	SOFTWARE ENGINEER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	72821	Y	Level I	72821	0	Y	IRVINE	CA	N	N	33.669464	-117.82311	6
2015	C	THE UNIVERSITY OF IOWA	IOWA CITY	IA	52242	USA	CLINICAL ASSISTANT PROFESSOR	29-1069	PHYSICIANS AND SURGEONS, ALL OTHER	N	86.22	H	Level II	86.22		H	IOWA CITY	IA	N	N	41.66113	-91.53017	7
2016	C	ROCKWELL COLLINS, INC.	CEDAR RAPIDS	IA	52498	USA	SOFTWARE ENGINEER	15-1133	SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE		65728	Y		75705	0	Y	CEDAR RAPIDS	IA	N	N	42.00833	-91.644066	6
2011	C	EPAM SYSTEMS, INC.	NEWTOWN	PA	18940		LEAD QA ENGINEER	15-1099.01	SOFTWARE QUALITY ASSURANCE ENGINEERS AND TESTERS	Y	51730	Y		70000		Y	NEWTOWN	PA			40.229275	-74.93684	7
2015	C	NEXTGEN SOLUTIONS INC	CONCORD	NC	28027	USA	SOFTWARE ENGINEER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	62421	Y	Level I	62500		Y	COLUMBUS	OH	N	N	39.961174	-82.998795	6
2011	W	TECHNOTEC, INC.	HERNDON	VA	20170		PROGRAMMER ANALYST	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	71906	Y		80000		Y	BELLEVUE	WA			47.61038	-122.200676	0
2015	C	IMPRESS PUBLIC RELATIONS, INC.	SAN FRANCISCO	CA	94111	USA	GOVERNMENT RELATIONS ANALYST	19-3094	POLITICAL SCIENTISTS	Y	46592	Y	Level I	47500		Y	SAN FRANCISCO	CA	N	N	37.77493	-122.41942	7
2015	C	INOVANT, LLC	FOSTER CITY	CA	94404	USA	DATA SCIENTIST	15-1199	COMPUTER OCCUPATIONS, ALL OTHER	Y	76918	Y	Level II	87400	131300	Y	FOSTER CITY	CA	N	N	37.558548	-122.27108	4
2015	C	COMPUTEK SOULUTIONS INC	SOUTH PLAINFIELD	NJ	7080	USA	PROGRAMMER ANALYST	15-1131	COMPUTER PROGRAMMERS	Y	55126	Y	Level I	60000		Y	STERLING	VA	Y	N	39.00622	-77.4286	11
2015	C	AYASDI, INC.	MENLO PARK	CA	94025	USA	SOFTWARE DEVELOPMENT ENGINEER IN TEST	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	96866	Y	Level II	110000	120000	Y	MENLO PARK	CA	N	N	37.453827	-122.18219	6
2017	C	BECHTEL OIL, GAS AND CHEMICALS, INC.	GLENDALE	AZ	85312-7700		SENIOR CONTROLS SYSTEM ENGINEER	17-2071	ELECTRICAL ENGINEERS	Y	105934	Y		118464	144180	Y	HOUSTON	TX	N	N	29.763283	-95.36327	6
2017	W	YU & ASSOCIATES, INC.	ELMWOOD PARK	NJ	07407-1033	USA	GEOSCIENTIST	19-2042	GEOSCIENTISTS, EXCEPT HYDROLOGISTS AND GEOGRAPHERS	Y	28.06	H	Level I	28.06	0	H	ELMWOOD PARK	NJ	N	N	40.903988	-74.11848	3
2013	C	CYBER RESOURCE GROUP INC	NORTH BRUNSWICK	NJ	8902		PROGRAMMER ANALYST	15-1131	COMPUTER PROGRAMMERS	Y	68370	Y		69742		Y	IRVING	TX			32.81402	-96.94889	4
2017	C	THE UNIVERSITY OF KANSAS MEDICAL CENTER	KANSAS CITY	KS	66160	USA	ASSISTANT PROFESSOR	25-1071	HEALTH SPECIALTIES TEACHERS, POSTSECONDARY	Y	106847	Y	Level III	288453	0	Y	KANSAS CITY	KS	N	N	39.11417	-94.62746	6
2014	C	C&T INFORMATION TECHNOLOGY CONSULTING, INC	CEDAR PARK	TX	78613		JAVA DEVELOPER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	73403	Y		83000		Y	PHOENIX	AZ			33.448376	-112.074036	7
2014	C	UBS AG	STAMFORD	CT	6901		ASSOCIATE DIRECTOR, EQUITY STRATEGIST	13-2051	FINANCIAL ANALYSTS	Y	122845	Y		123000	150000	Y	NEW YORK	NY			40.761494	-73.98143	6
2015	C	TIVO INC.	SAN JOSE	CA	95002	USA	IT DELIVERY MANAGER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	109762	Y	Level II	125000		Y	SAN JOSE	CA	N	N	37.339386	-121.89496	6
2016	C	ROYAL CYBER INC.	NAPERVILLE	IL	60563	USA	TECHNICAL ARCHITECT	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS		105102	Y		120000	0	Y	NAPERVILLE	IL	Y	N	41.785862	-88.14729	6
2011	C	SAKOM INVESTMENT LTD	DALLAS	TX	75229		MANAGEMENT ANALYST	13-1111	MANAGEMENT ANALYSTS	N	24.21	H		24.21		H	DALLAS	TX			32.783054	-96.80666	6
2011	C	UNISYS CORPORATION	BLUE BELL	PA	19422		EXCHANGE ADMINISTRATOR	15-1071.00	NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS	Y	58490	Y		67424		Y	HARRISBURG	PA			40.2737	-76.884415	6
2016	C	TEK SIGNATURE LLC	BERKELEY LAKE	GA	30071	USA	PROGRAMMER ANALYST	15-1131	COMPUTER PROGRAMMERS		77563	Y		78000	0	Y	BERKELEY LAKE	GA	N	N	33.98371	-84.186584	6
2014	C	PHYSICIAN AFFILIATE GROUP OF NY, P.C.	NEW YORK	NY	10029		ATTENDING PHYSICIAN	29-1063	INTERNISTS, GENERAL	Y	126158	Y		126158		Y	NEW YORK	NY			40.761494	-73.98143	6
2017	C	VJ ASSOCIATES OF NEW ENGLAND INC.	NEEDHAM	MA	2494	USA	COST ESTIMATOR	13-1051	COST ESTIMATORS	Y	48402	Y	Level I	63000	0	Y	NEEDHAM	MA	N	N	42.283432	-71.232834	5
2012	W	SATYAM COMPUTER SERVICES LIMITED	PARSIPPANY	NJ	7054		BUSINESS SYSTEMS ANALYST	15-2031	OPERATIONS RESEARCH ANALYSTS	Y	65083	Y		65083		Y	ROCKVILLE	MD			39.083996	-77.152756	1
2017	W	BECTON, DICKINSON AND COMPANY	FRANKLIN LAKES	NJ	7417	USA	SR HYBRIS E-COMMERCE DEVELOPER, INFO TECH (LIFE SCIENCES)	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	117420	Y		142593	0	Y	SAN JOSE	CA	N	N	37.339386	-121.89496	1
2011	C	IT TRANSFORMERS, INC.	INDIANAPOLIS	IL	46204		SOFTWARE ENGINEER	15-1021.00	COMPUTER PROGRAMMERS	Y	44013	Y		52000		Y	INDIANAPOLIS	IN			39.768375	-86.15804	6
2013	C	SOUTHWEST REGIONAL REHABILITATION CENTER	BATTLE CREEK	MI	49017		PHYSICAL THERAPIST	29-1123	PHYSICAL THERAPISTS	Y	44907	Y		72500		Y	BATTLE CREEK	MI			42.32115	-85.17971	4
2013	C	NOKIA SIEMENS NETWORKS US LLC	IRVING	TX	75039		SYSTEM VERIFICATION ENGINEER	15-1799	COMPUTER OCCUPATIONS, ALL OTHER	Y	74381	Y		74538.85		Y	IRVING	TX			32.81402	-96.94889	6
2016	C	FUTURENET GROUP INC	DETROIT	MI	48223	USA	PROGRAMMER ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS		51979	Y		52000	0	Y	AUBURN HILLS	MI	N	N	42.68753	-83.2341	7
2016	C	UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH	BOULDER	CO	80307	USA	POSTDOCTORAL RESEARCHER	19-2012	PHYSICISTS		40248	Y		60000	0	Y	BOULDER	CO	N	N	40.014984	-105.270546	4
2011	C	UNIVERSITY OF CALIFORNIA, BERKELEY	BERKELEY	CA	94720		LECTURER	25-1124.00	FOREIGN LANGUAGE AND LITERATURE TEACHERS, POSTSECO	Y	46896	Y		46896		Y	BERKELEY	CA			37.871593	-122.27274	6
2015	C	CALYPSO TECHNOLOGY, INC.	SAN FRANCISCO	CA	94105	USA	INTERNAL SYSTEMS DESIGNER	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	75046	Y	Level I	75046	106317	Y	SAN FRANCISCO	CA	Y	N	37.77493	-122.41942	6
2014	C	WOOD GROUP KENNY, INC.	HOUSTON	TX	77084		STAFF SPECIALIST	17-2121	MARINE ENGINEERS AND NAVAL ARCHITECTS	Y	65083	Y		82517.12		Y	HOUSTON	TX			29.763283	-95.36327	6
